Elector,Nationality,Order and title,Elevated,Elevator,Notes
Rodrigo Borja,Kingdom of Valencia,Cardinal-Bishop of Porto e Santa Rufina,20 February 1456 created in pectore ; published 17 September 1456,Callixtus III,"Vice-Chancellor of the Holy Roman Church , Administrator of Valencia elected Pope Alexander VI Cardinal-nephew , House of Borgia"
Oliviero Carafa,Neapolitan,Cardinal-Bishop of Sabina,18 September 1467,Paul II,Vice Dean of the College of Cardinals Crown cardinal of Ferdinand I of Naples
Giuliano della Rovere,Savona,Cardinal-Bishop of Ostia and Velletri,16 December 1471 created in pectore ; published 22 December 1471,Sixtus IV,"Dean of the College of Cardinals , Cardinal-nephew , bishop of Bologna , administrator of Avignon Future Pope Julius II"
Giovanni Battista Zeno,Venetian,Cardinal-Bishop of Frascati,21 November 1468,Paul II,Cardinal-nephew
Giovanni Michiel,Venetian,Cardinal-Bishop of Palestrina,21 November 1468,Paul II,Cardinal-nephew
Jorge da Costa,Portuguese,Cardinal-Bishop of Albano,16 December 1476,Sixtus IV,Archbishop of Lisbon ; Crown cardinal of Afonso V of Portugal
Girolamo Basso della Rovere,Savona,Cardinal-Priest of S. Crisogono,10 December 1477 created in pectore ; published 12 December 1477,Sixtus IV,Cardinal-nephew ; bishop of Recanati e Macerata
Domenico della Rovere,Piedmont,Cardinal-Priest of S. Clemente,10 February 1478,Sixtus IV,Cardinal-nephew ; archbishop of Turin
Paolo di Campofregoso,Genoese,Cardinal-Priest of S. Sisto,15 May 1480,Sixtus IV,Former ruler of Genoa ; archbishop of Genoa
Giovanni Conti,Roman,Cardinal-Priest of S. Vitale,15 November 1483,Sixtus IV,
Giovanni Giacomo Sclafenati,Milanese,Cardinal-Priest of S. Cecilia,15 November 1483,Sixtus IV,Bishop of Parma
Lorenzo Cibò di Mari,Genoese,Cardinal-Priest of S. Marco,9 March 1489,Innocent VIII,Cardinal-nephew ; archbishop of Benevento
Ardicino della Porta,Milanese ( Novara ),Cardinal-Priest of Ss . Giovanni e Paolo,9 March 1489,Innocent VIII,Bishop of Aleria
Antoniotto Pallavicini,Genoese,Cardinal-Priest of S. Prassede,9 March 1489,Innocent VIII,Bishop of Orense
"Maffeo Gherardo , O.S.B . Cam",Venetian,Cardinal-Priest of Ss . Nereo e Achilleo,9 March 1489 ( created in pectore ),Innocent VIII,Not published before death of Innocent VIII ; patriarch of Venice
Francesco Piccolomini,Neapolitan,Cardinal-Deacon of S. Eustachio,5 March 1460,Pius II,"Protodeacon , bishop of Siena , future Pope Pius III , Cardinal-nephew"
Raffaele Riario,Savona,Cardinal-Deacon of S. Lorenzo in Damaso,12 December 1477,Sixtus IV,"Camerlengo of the Holy Roman Church , Cardinal-nephew"
Giovanni Battista Savelli,Roman,Cardinal-Deacon of S. Nicola in Carcere Tulliano,15 May 1480,Sixtus IV,Former Governor of Bologna
Giovanni Colonna,Roman,Cardinal-Deacon of S. Maria in Aquiro,15 May 1480,Sixtus IV,
Giambattista Orsini,Roman,Cardinal-Deacon of S. Maria Nuova,15 November 1483,Sixtus IV,
