Team,Conf/Div,Champion,Runner-up,Semifinalist,Quarterfinalist
California,PAC,"5 ( 2013 , 2014 , 2015 , 2016 , 2017 )",1 ( 2010 ),1 ( 2012 ),1 ( 2011 )
Dartmouth,Ivy,"2 ( 2011 , 2012 )",0,"4 ( 2010 , 2013 , 2014 , 2015 )","3 ( 2010 , 2013 , 2014 )"
Lindenwood,Mid-South,"2 ( 2018 , 2019 )",0,1 ( 2017 ),
Utah,PAC,1 ( 2010 ),0,1 ( 2011 ),0
Life University,Div 1-A,0,"3 ( 2013 , 2017 , 2019 )","4 ( 2012 , 2015 , 2015 , 2018 )",0
UCLA,PAC,0,"2 ( 2016 , 2018 )","2 ( 2013 , 2014 )",0
Kutztown,Div 1-A,0,"2 ( 2014 , 2015 )","2 ( 2016 , 2019 )",1 ( 2013 )
Arizona,PAC,0,1 ( 2012 ),"4 ( 2010 , 2015 , 2016 , 2018 )","2 ( 2011 , 2013 )"
Army,Div 1-A,0,1 ( 2011 ),0,0
Navy,Atlantic Coast,0,0,"2 ( 2013 , 2019 )","4 ( 2010 , 2012 , 2014 , 2015 )"
Central Washington,Independent,0,0,1 ( 2011 ),0
San Diego State,Div 1-A,0,0,1 ( 2010 ),0
Penn State,Div 1-A,0,0,0,"3 ( 2011 , 2013 , 2014 )"
Arkansas State,MSC,0,0,0,"2 ( 2015 , 2016 )"
Michigan,Big Ten,0,0,0,"2 ( 2014 , 2015 )"
