Pos,No,Driver,Constructor,Time,Gap
1,2,Rubens Barrichello,Ferrari,1:10.223,-
2,1,Michael Schumacher,Ferrari,1:10.400,+0.177
3,10,Takuma Sato,BAR - Honda,1:10.601,+0.378
4,9,Jenson Button,BAR - Honda,1:10.820,+0.597
5,3,Juan Pablo Montoya,Williams - BMW,1:11.062,+0.839
6,4,Ralf Schumacher,Williams - BMW,1:11.106,+0.883
7,6,Kimi Räikkönen,McLaren - Mercedes,1:11.137,+0.914
8,17,Olivier Panis,Toyota,1:11.167,+0.944
9,8,Fernando Alonso,Renault,1:11.185,+0.962
10,14,Mark Webber,Jaguar - Cosworth,1:11.286,+1.063
11,16,Cristiano da Matta,Toyota,1:11.691,+1.468
12,5,David Coulthard,McLaren - Mercedes,1:12.026,+1.803
13,15,Christian Klien,Jaguar - Cosworth,1:12.170,+1.947
14,11,Giancarlo Fisichella,Sauber - Petronas,1:12.470,+2.247
15,12,Felipe Massa,Sauber - Petronas,1:12.721,+2.498
16,18,Nick Heidfeld,Jordan - Ford,1:13.147,+2.924
17,19,Giorgio Pantano,Jordan - Ford,1:13.375,+3.152
18,20,Gianmaria Bruni,Minardi - Cosworth,1:14.010,+3.787
19,21,Zsolt Baumgartner,Minardi - Cosworth,1:14.812,+4.589
20,7,Jarno Trulli,Renault,no time,no time
