Year,Winner,Club ( s )
1976,Pierlo Marzorati **,Birra Forst Cantù
1977,Dražen Dalipagić ***,Partizan
1978,Dražen Dalipagić *** ( 2 ),Partizan
1979,Vladimir Tkachenko,Stroitel
1980,Dino Meneghin ***,Emerson Varese & Billy Milano
1981,Dragan Kićanović **,Partizan & Scavolini Pesaro
1982,Dragan Kićanović ** ( 2 ),Scavolini Pesaro
1983,Dino Meneghin *** ( 2 ),Billy / Simac Milano
1984,Juan Antonio San Epifanio Epi,FC Barcelona
1985,Arvydas Sabonis ***,Žalgiris
1986,Dražen Petrović ***,Cibona
1987,Nikos Galis ***,Aris
1988,Šarūnas Marčiulionis ***,Statyba
1989,Vlade Divac,Partizan & Los Angeles Lakers
1990,Toni Kukoč,Jugoplastika / Pop 84
1991,Toni Kukoč ( 2 ),Pop 84 & Benetton Treviso
1992,Toni Kukoč ( 3 ),Benetton Treviso
1993,Dražen Petrović *** ( 2 ),New Jersey Nets
1994,Sašha Djordjević,Recoaro Milano & Filodoro Bologna
1995,Sašha Djordjević ( 2 ),Filodoro / Teamsystem Bologna
