Title,Publisher,Developer ( s ),Release Date,ESRB
Super Mario World,Nintendo,Nintendo EAD,"April 26 , 2013",E
F-Zero,Nintendo,Nintendo EAD,"April 26 , 2013",E
Super Metroid,Nintendo,Nintendo R & D1,"May 15 , 2013",E
Super Ghouls ' n Ghosts,Capcom,Capcom,"May 16 , 2013",E
Kirby Super Star,Nintendo,HAL Laboratory,"May 23 , 2013",E
Kirby 's Dream Course,Nintendo,HAL Laboratory,"May 23 , 2013",E
Kirby 's Dream Land 3,Nintendo,HAL Laboratory,"May 23 , 2013",E
Mega Man X,Capcom,Capcom,"May 30 , 2013",E
Vegas Stakes,Nintendo,HAL Laboratory,"June 27 , 2013",E
Pilotwings,Nintendo,Nintendo EAD,"July 4 , 2013",E
EarthBound,Nintendo,"HAL Laboratory , Ape","July 18 , 2013",T
Harvest Moon,Natsume,Amccus,"August 1 , 2013",E
Romance of the Three Kingdoms IV : Wall of Fire,Koei Tecmo,Koei,"August 8 , 2013",E
Street Fighter II : The World Warrior,Capcom,Capcom,"August 22 , 2013",T
Street Fighter II Turbo : Hyper Fighting,Capcom,Capcom,"August 22 , 2013",T
Super Street Fighter II : The New Challengers,Capcom,Capcom,"August 22 , 2013",T
Breath of Fire II,Capcom,Capcom,"September 5 , 2013",E
Final Fight,Capcom,Capcom,"October 3 , 2013",E
Final Fight 2,Capcom,Capcom,"October 3 , 2013",E10+
Final Fight 3,Capcom,Capcom,"October 3 , 2013",T
