Song,Artist,Year,Release Date
Part of Me ( 2014D ) / ( JWiiU ),Katy Perry,2012,"January 3 , 2013 ( PAL ) , January 24 , 2013 ( NTSC )"
Gangnam Style ( 2014D ) / ( JWiiU ) / ( 2015D ),PSY,2012,"January 3 , 2013 ( PAL ) , January 24 , 2013 ( NTSC )"
Funhouse ( 2014D ) / ( 2015D ),Pink,2009,"January 3 , 2013 ( PAL ) , January 24 , 2013 ( NTSC )"
So Glamorous,The Girly Team,2012,"January 3 , 2013 ( PAL ) , January 24 , 2013 ( NTSC )"
One Thing ( K2014 ) / ( 2014D ),One Direction,2012,"February 15 , 2013"
Heavy Cross,Gossip,2009,"February 15 , 2013"
Hit The Lights ( K2014 ),Selena Gomez & the Scene,2012,"February 15 , 2013"
Dagomba ( 2016U ) ( JD3D ),Sorcerer,2003,"February 15 , 2013 ( JD2 re-release )"
Good Girl,Carrie Underwood,2012,"February 15 , 2013"
We R Who We R ( 2014D ),Kesha,2010,"February 21 , 2013"
You Make Me Feel,Cobra Starship featuring Sabi,2011,"February 21 , 2013"
Oath,Cher Lloyd featuring Becky G,2012,"February 21 , 2013"
Boom,Reggaeton Storm ( as made famous by MC Magico and Alex Wilson ),2005,"February 21 , 2013 ( JD3 re-release )"
The Lazy Song,Bruno Mars,2010,"March 7 , 2013"
Gold Dust,DJ Fresh,2010,"March 7 , 2013"
Die Young ( 2014D ) / ( 2015D ),Kesha,2012,"April 18 , 2013"
Primadonna,Marina and the Diamonds,2012,"April 18 , 2013"
