Name,Teams/Associations,First Appearance
Action Hank,,Dexter 's Laboratory
Afro Samurai,,Afro Samurai
Anansi the Spider,Static ( ally ),Static Shock
Agent Antoine Triplett,S.H.I.E.L.D,Agents of S.H.I.E.L.D
Benny Sherwood,,Wizards vs Aliens
Big Lob,G.I . Joe,G.I . Joe : The Movie
Black Ranger,Power Rangers : Operation Overdrive,
Black Ranger,Mighty Morphin Power Rangers,
Black Vulcan,Super Friends,Super Friends Animated Cartoon
Blade,,Blade ( TV show )
Blue Ranger,Power Rangers : Dino Thunder,
Blue Ranger,Power Rangers : Wild Force,
Blue Ranger,Power Rangers in Space,
Blue Ranger,Power Rangers Samurai,
Blue Ranger,Power Rangers Megaforce,
The Brown Hornet,,Fat Albert
Bulletproof,C.O.P.S,C.O.P.S
Bumblebee,Teen Titans ( East ),Teen Titans
Capital G,Justice Friends,Dexter 's Laboratory
Cassie,,Animorphs
