Year,Winner,Position,School
1999-00,Andy Berg,Center,Air Force
2000-01,Kevin Fines,Goaltender,Findlay
2001-02,Riley Riddell,Center,Bemidji State
2002-03,Scott Munroe,Goaltender,Alabama-Huntsville
2003-04,Luke Erickson,Center,Bemidji State
2004-05,Stavros Paskaris,Forward,Wayne State
2005-06,Ted Cook,Forward,Niagara
,Les Reaney,Center,Niagara
2006-07,Chris Moran,Forward,Niagara
2007-08,Matt Read,Center,Bemidji State
2008-09,Brad Hunt,Defenceman,Bemidji State
2009-10,Jordan George,Right Wing,Bemidji State
