Seasons Since Win,Team,Last playoff game win,Loss Streak,Playoff Losses - Teams
29,Cincinnati Bengals,1990 AFC Wild Card,8 ♦,1990 Divisional - Los Angeles Raiders 2005 Wild Card - Pittsburgh 2009 Wild Card - New York Jets 2011 Wild Card - Houston 2012 Wild Card - Houston 2013 Wild Card - San Diego 2014 Wild Card - Indianapolis 2015 Wild Card - Pittsburgh
28,Detroit Lions,1991 NFC Divisional,9 ♣ ♣,1991 NFC Championship - Washington 1993 Wild Card - Green Bay 1994 Wild Card - Green Bay 1995 Wild Card - Philadelphia 1997 Wild Card - Tampa Bay 1999 Wild Card - Washington 2011 Wild Card - New Orleans 2014 Wild Card - Dallas 2016 Wild Card - Seattle
24,Buffalo Bills,1995 AFC Wild Card,6 ♦,1995 Divisional - Pittsburgh 1996 Wild Card - Jacksonville 1998 Wild Card - Miami 1999 Wild Card - Tennessee 2017 Wild Card - Jacksonville 2019 Wild Card - Houston
22**,Cleveland Browns,1994 AFC Wild Card,2,1994 Divisional - Pittsburgh 2002 Wild Card - Pittsburgh
19,Miami Dolphins,2000 AFC Wild Card,4 ¤,2000 Divisional - Oakland 2001 Wild Card - Baltimore 2008 Wild Card - Baltimore 2016 Wild Card - Pittsburgh
17,Las Vegas Raiders,2002 AFC Championship,2 ¤,2002 Super Bowl - Tampa Bay 2016 Wild Card - Houston
17,Tampa Bay Buccaneers †,Super Bowl XXXVII,2,2005 Wild Card - Washington 2007 Wild Card - New York Giants
14,Washington Redskins,2005 NFC Wild Card,4 ¤,2005 Divisional - Seattle 2007 Wild Card - Seattle 2012 Wild Card - Seattle 2015 Wild Card - Green Bay
9,New York Jets,2010 AFC Divisional,1,2010 AFC Championship - Pittsburgh
9,Chicago Bears,2010 NFC Divisional,2,2010 NFC Championship - Green Bay 2018 Wild Card - Philadelphia
8,New York Giants,Super Bowl XLVI,1,2016 Wild Card - Green Bay
5,Baltimore Ravens,2014 AFC Wild Card,3 ¤,2014 Divisional - New England 2018 Wild Card - Los Angeles Chargers 2019 Divisional - Tennessee
4,Arizona Cardinals,2015 NFC Divisional,1,2015 NFC Championship - Carolina
4,Carolina Panthers,2015 NFC Championship,2,2015 Super Bowl - Denver 2017 Wild Card - New Orleans
4,Denver Broncos,Super Bowl 50,0,3-game win streak
3,Pittsburgh Steelers,2016 AFC Divisional,2,2016 AFC Championship - New England 2017 Divisional - Jacksonville
2,Atlanta Falcons,2017 NFC Wild Card,1,2017 Divisional - Philadelphia
2,Jacksonville Jaguars,2017 AFC Divisional,1,2017 AFC Championship - New England
1,Indianapolis Colts,2018 AFC Wild Card,1,2018 Divisional - Kansas City
1,Los Angeles Chargers,2018 AFC Wild Card,1,2018 Divisional - New England
