Title,Artist,Year,Location,Material,Dimensions
Major General George Henry Thomas,John Quincy Adams Ward,1879,"Thomas Circle , Washington , D.C",Bronze,16 feet ( 4.9 m )
Monument to the N.Y. Vols . 107,,1881,"Elmira , New York",Bronze,
The Puritan ( Springfield ),Augustus Saint-Gaudens,1887,"Springfield , Massachusetts",Bronze,
Dickens and Little Nell,Francis Edwin Elwell,1890,Philadelphia,Bronze,
42nd New York Infantry Memorial,John J. Boyle,1891,"Gettysburg , Pennsylvania",Bronze,
General Ulysses S. Grant ( French ),Daniel Chester French & Edward Clark Potter,1898,Kelly Drive,Bronze,174 in
John L. Burns,Albert George Bureau ( b . 1871 ; likely related to the Bureau Brothers ),1903,"Gettysburg , Pennsylvania",Bronze,
Coming of the White Man,Hermon Atkins MacNeil,1904,"Washington Park in Portland , Oregon",Bronze,
Statue of General Wayne,Henry Kirk Bush-Brown,1907,"Valley Forge National Historical Park , Pennsylvania",Bronze,168 inches tall
Lincoln Statue,W. Granville Hastings,1918,"Greene County Courthouse , Jefferson , Iowa",Bronze,Lifesize
Thorfinn Karlsefni,Einar Jonsson,1920,"Fairmount Park , Philadelphia , Pennsylvania",Bronze,88 inches tall
Nuns of the Battlefield,Jerome Connor,1924,"Civil War Nurses Memorial , 1700 block of Rhode Island Avenue NW , Washington , D.C",Bronze,Lifesize
