Edition,Year,City,Country,Date
I,1994,Algiers,Algeria,6-8 July
II,1995,Bouaké,Ivory Coast,20-22 July
III,1997,Ibadan,Nigeria,21-23 August
IV,1999,Tunis,Tunisia,22-25 July
V,2001,Réduit,Mauritius,9-12 July
VI,2003,Garoua,Cameroon,31 July - 3 August
VII,2005,Tunis and Radès,Tunisia,1-4 September
VIII,2007,Ouagadougou,Burkina Faso,9-12 August
IX,2009,Bambous,Mauritius,30 July - 2 August
X,2011,Gaborone,Botswana,12-15 May
XI,2013,Bambous,Mauritius,29 August - 1 September
XII,2015,Addis Ababa,Ethiopia,5-8 March
XIII,2017,Tlemcen,Algeria,29 June - 2 July
XIV,2019,Abidjan,Ivory Coast,16-20 April
