Team,Location,Stadium,Capacity
Aluminium Arak,Arak,Imam Khomeini,"15,000"
Arman Gohar Sirjan,Sirjan,TBA,TBA
Baadraan Tehran,Tehran,Kargaran,"5,000"
Damash,Rasht,Shahid Dr. Azodi,"11,000"
Elmoadab Tabriz,Tabriz,Marzdaran Stadium,"5,000"
Esteghlal Khuzestan,Ahvaz,Ghadir,"38,900"
Fajr Sepasi,Shiraz,Hafezieh,"15,000"
Gol Reyhan Alborz,Karaj,Enghelab,"15,000"
Khooshe Talaei Saveh,Saveh,Shahid Chamran,"3,000"
Malavan,Bandar-e Anzali,Takhti Anzali,"8,000"
Mes Kerman,Kerman,Shahid Bahonar,"15,430"
Mes Rafsanjan,Rafsanjan,Shohadaye Noushabad,"5,000"
Navad Urmia,Urmia,Shahid Bakeri,"15,000"
Nirooye Zamini,Tehran,TBA,TBA
Qashqai,Shiraz,Hafezieh,"15,000"
Rayka Babol,Babol,Haft-e Tir,"6,000"
Sepidrood,Rasht,Sardar Jangal,"15,000"
Sorkhpooshan Pakdasht,Pakdasht,Shahid Dastgerdi,"8,250"
