Club,Location,Stadium,Capacity,Current manager
FC Daugava,Daugavpils,Daugava Stadium ( Daugavpils ),"3,500",Tamaz Pertia
FK Jaunība,Riga,Daugava Stadium ( Riga ),"5,000",Sergejs Davidovs
FK Jelgava,Jelgava,Zemgales Olimpiskais Sporta Centrs,"1,560",Dainis Kazakevičs
FK Jūrmala-VV,Jūrmala,Slokas Stadium,"5,000",Vladimirs Babičevs
FK Ventspils,Ventspils,Olimpiskais Stadium,"3,200",Nunzio Zavettieri
JFK Olimps/RFS,Riga,Latvijas Universitates Stadions,"5,000",Mihails Miholaps
Metalurgs,Liepāja,Daugava Stadium ( Liepāja ),"5,500",Rüdiger Abramczik
SK Blāzma,Rēzekne,Sporta Aģentūras Stadions,"3,000",Eriks Grigjans
Skonto FC,Riga,Skonto Stadium,"10,000",Aleksandrs Starkovs
FC Tranzit,Ventspils,Ventspils 2. pamatskolas stadions,500,Igor Kichigin
