Year,Rider,Series
1939,Norman Wainwright,North West 200
1949,P. L. Phillips,North West 200
1951,William Bennison,North West 200
1955,Julian Crossley,Ulster Grand Prix
1956,Bill Aislabie,North West 200
1956,Derek Ennett,Ulster Grand Prix
1961,Carl Todd,Killinchy 150
1961,Ron Miles,Ulster Grand Prix
1970,Andy Manship,North West 200
1973,Graham Fish,North West 200
1974,Norman Connor,Killinchy 150
1977,Geoff Barry,Killinchy 150
1977,George Oates,Ulster Grand Prix
1977,John Molyneux,Ulster Grand Prix
1978,Monty Swann,Ulster Grand Prix
1978,John Williams,Ulster Grand Prix
1979,Brian Hamilton,North West 200
1979,Tom Herron,North West 200
1979,Frank Kennedy,North West 200
1980,Mervyn Robinson,North West 200
