Date,Co-Hosts,Guests/Segments
November 3,Regis Philbin & Kelly Ripa,David Schwimmer and Plain White T 's
November 4,Regis Philbin & Kelly Ripa,Robert Wagner and Miranda Cosgrove
November 5,Regis Philbin & Kelly Ripa,Seann William Scott and Cedric the Entertainer
November 6,Regis Philbin & Kelly Ripa,Paul Rudd and Dr. Laura Fisher
November 7,Regis Philbin & Kelly Ripa,Ben Stiller and Dido
November 10,Regis Philbin & Kelly Ripa,Jeff Goldblum and Regis & Kelly Do It Week
November 11,Regis Philbin & Kelly Ripa,"Misty May-Treanor , Seal , and Regis & Kelly Do It Week"
November 12,Regis Philbin & Kelly Ripa,"Daniel Craig , David Archuleta , and Regis & Kelly Do It Week"
November 13,Regis Philbin & Kelly Ripa,"Don Rickles , Miley Cyrus , and Regis & Kelly Do It Week"
November 14,Regis Philbin & Kelly Ripa,"John Travolta , Quincy Jones , and Regis & Kelly Do It Week"
November 17,Regis Philbin & Kelly Ripa,"Jenny McCarthy , Milo Ventimiglia , Miss J. Alexander , and Holiday S.O.S . Week"
November 18,Regis Philbin & Kelly Ripa,"2008 NASCAR Sprint Cup Series , Enrique Iglesias , and Holiday S.O.S . Week"
November 19,Regis Philbin & Kelly Ripa,David Cook and Holiday S.O.S . Week
November 20,Regis Philbin & Kelly Ripa,"Jimmy Smits , America 's Next Top Model Winner , and Holiday S.O.S . Week"
November 21,Regis Philbin & Kelly Ripa,"Kiefer Sutherland , Il Divo , and Holiday S.O.S . Week"
November 24,Regis Philbin & Kelly Ripa,"Reese Witherspoon , and Thanksgiving Three Ways"
November 25,Regis Philbin & Kelly Ripa,"Nicole Kidman , Thanksgiving Three Ways , and Tom Jones"
November 26,Regis Philbin & Kelly Ripa,"Hugh Jackman , Kristen Stewart , and Thanksgiving Three Ways"
November 28,Regis Philbin & Kelly Ripa,"Felicity Huffman , Paula Deen , and Carrot Top"
