Bank,Headquarters,Assets,Equity,Ratio,Employees
Addiko Bank,Belgrade,856,186,"21,73",592
AIK Banka,Belgrade,"1,768",472,"26,70",760
API Bank,Belgrade,85,13,"15,29",74
Banca Intesa,Belgrade,"5,387",896,"16,63","3,101"
Bank of China Srbija,Belgrade,91,15,"16,48",24
Crédit Agricole,Novi Sad,"1,025",103,"10,05",961
Direktna Banka,Kragujevac,482,84,"17,43",479
Expobank,Belgrade,136,32,"23,53",167
Erste Bank,Novi Sad,"1,938",264,"13,62","1,162"
Eurobank,Belgrade,"1,485",444,"29,90","1,499"
Halkbank,Belgrade,578,101,"17,47",467
JUBMES banka,Belgrade,161,34,"21,12",125
Komercijalna banka,Belgrade,"3,573",618,"17,30","3,108"
Mirabank,Belgrade,53,17,"32,08",37
Mobi Banka,Belgrade,175,41,"23,43",183
mts banka,Belgrade,102,22,"21,57",188
NLB banka,Belgrade,570,76,"13,33",446
Opportunity banka,Novi Sad,151,30,"19,87",367
OTP banka Srbija,Belgrade,"2,812",423,"15,04","1,431"
Poštanska štedionica,Belgrade,"1,726",190,"11,00","2,077"
