Year,Title,Composer
1842,Il duca d'Alba,Giovanni Pacini ( Libretto also used by Giovanni Peruzzini )
1844,Ernani,Giuseppe Verdi
1844,I due Foscari,Giuseppe Verdi
1845,Lorenzino de ' Medici,Giovanni Pacini
1846,Attila,Giuseppe Verdi
1846,Estella di Murcia,Federico Ricci
1847,Griselda,Federico Ricci
1847,Macbeth ( first version ),Giuseppe Verdi
1847,Tutti amanti,Carlo Romani
1848,Allan Cameron,Giovanni Pacini
1848,Giovanna di Fiandra,Carlo Boniforti
1848,Il corsaro,Giuseppe Verdi
1848,La Schiava Saracena,Saverio Mercadante
1850,Crispino e la comare,Luigi Ricci and Federico Ricci
1850,Elisabetta di Valois,Antonio Buzzolla
1850,Stiffelio,Giuseppe Verdi
1851,La Sposa di Murçia,Andrea Casalini
1851,Rigoletto,Giuseppe Verdi
1853,Baschina,Federico Guglielmo De Liguoro
1853,La donna delle isole,Giovanni Pacini
