Year,Film,Role,Cast,Direction
1981,Ek Duuje Ke Liye,Sandhya,"Kamal Haasan , Rati Agnihotri",K. Balachander
1983,Andha Kanoon,Zakhiya Khan,"Rajinikanth , Hema Malini , Reena Roy , Amitabh Bachchan",T. Rama Rao
1984,Mujhe Shakti Do,,"Vinod Mehra , Bindiya Goswami",Sharad Chaudhary
1985,Misaal,,"Naseeruddin Shah , Vijeta Pandit","Humayun Mirza , Maharukh Mirza , Sharukh Mirza"
1985,Geraftaar,Inspector Geeta Sinha,"Amitabh Bachchan , Kamal Haasan , Rajinikanth , Poonam Dhillon",Prayag Raj
1987,Loha,Anita,"Dharmendra , Shatrughan Sinha , Mandakini",Raj N. Sippy
1987,Kalyug Aur Ramayan,Sarita,"Manoj Kumar , Rajiv Goswami",Babubhai Mistry
1987,Satyamev Jayathe,Pooja Shastri,"Vinod Khanna , Meenakshi Seshadri , Anita Raj",Raj N. Sippy
1987,Insaaf Kaun Karega,Priya,Dharmendra Rajnikant Pran Gulshan Grover Jayaprada Bindu,Sudarshan Nag
1988,Pyar Ka Mandir,Radha Bhooljanewala,"Mithun Chakraborty , Raj Kiran , Nirupa Roy",K. Bapaiah
1988,Mar Mitenge,Radha,"Mithun Chakraborty , Jeetendra , Banupriya",Kawal Sharma
1988,Falak ( The Sky ),Rita D'Souza,"Rakhee Gulzar , Jackie Shroff , Shekhar Kapur",Shashilal K. Nair
1989,Paraya Ghar,,"Rishi Kapoor , Jaya Prada",Kalpataru
1989,Jayadaad,Advocate Anjali,,
1989,Lashkar,Anand 's wife,Dev Anand,Jagdish Kadar
1989,Zakhm,,"Shatrughan Sinha , Chunky Pandey , Neelam Kothari",Irfan Khan
1989,Nafrat Ki Aandhi,Geeta,,
1990,Sheshnaag,,"Jeetendra , Rishi Kapoor , Rekha , Mandakini",K. R. Reddy
1990,Haar Jeet,,"Kabir Bedi , Shafi Inamdar",Avtar Boghal
