Title / individual commemorated,Location,Date,Sculptor
Tiberius,Main gatehouse,1521,Giovanni da Maiano
Nero,Main gatehouse,1521,Giovanni da Maiano
Trajan,"Anne Boleyn 's Gatehouse , west side",1521,Giovanni da Maiano
Hadrian,"Anne Boleyn 's Gatehouse , west side",1521,Giovanni da Maiano
Vitellius,"Anne Boleyn 's Gatehouse , east side",1521,Giovanni da Maiano
Augustus,"Anne Boleyn 's Gatehouse , east side",1521,Giovanni da Maiano
Titus,George II Gateway,1521,Giovanni da Maiano
Otho,George II Gateway,1521,Giovanni da Maiano
Galba,George II Gateway,1521,Giovanni da Maiano
Julius Caesar,George II Gateway,1521,Giovanni da Maiano
