Site,Municipality,Comments,Type,Ref
Jōbenoma Site じょうべのま遺跡 Jōbenoma iseki,Nyūzen,Heian shōen ruins,6,968
Yasuda Castle Site 安田城跡 Yasuda-jō ato,Toyama,Sengoku period castle ruins,2,969
Etchū Gokayama Suganuma Hamlet 越中五箇山菅沼集落 Etchū Gokayama Suganuma shūraku,Nanto,forms part of the UNESCO World Heritage Site Historic Villages of Shirakawa-gō and Gokayama,6,962
Etchū Gokayama Ainokura Hamlet 越中五箇山相倉集落 Etchū Gokayama Ainokura shūraku,Nanto,forms part of the UNESCO World Heritage Site Historic Villages of Shirakawa-gō and Gokayama,6,961
Ōzuka-Senbōyama Sites 王塚・千坊山遺跡群 Ōzuka-Senbōyama iseki-gun,Toyama,,1,959
Kushidashin Site 串田新遺跡 Kushidashin iseki,Imizu,Jomon period settlement,1,967
Takase Site 高瀬遺跡 Takase iseki,Nanto,early Heian period shōen ruins,6,963
Sakuradani Kofun 桜谷古墳 Sakuradani kofun,Takaoka,,1,952
Kosugimaruyama Site 小杉丸山遺跡 Kosugimaruyama iseki,Imizu,Asuka period kilns,1,972
Kamiichi Kurokawa Sites 上市黒川遺跡群 Kamiichi Kurokawa iseki-gun,Kamiichi,"designation includes the sites of the Ennenjiyama Sutra Mound ( 円念寺山経塚 ) , Kurokawa Ueyama Graves ( 黒川上山墓跡 ) , and Shingō-ji ( 伝真興寺跡 )","3 , 7",00003468
Masuyama Castle Site 増山城跡 Masuyama-jō ato,Tonami,Sengoku period castle ruins,2,00003642
Ōiwa Nissekiji Stone Buddhas 大岩日石寺石仏 Ōiwa Nissekiji sekibutsu,Kamiichi,Nara period bas-relief carvings,3,951
Ōzakai Cave Dwelling Site 大境洞窟住居跡 Ōzakai dōkutsu jūkyo ato,Himi,,1,945
Asahi Shell Mound 朝日貝塚 Asahi kaizuka,Himi,Jomon period shell midden,1,944
Sugusaka Site 直坂遺跡 Sugusaka iseki,Toyama,Japanese Paleolithic settlement,1,970
Fudōdō Site 不動堂遺跡 Fudōdō iseki,Asahi,Jōmon period settlement,1,966
Kitadai Site 北代遺跡 Kitadai iseki,Toyama,Jōmon period settlement,1,971
Yanaidanu-no-Oyama Kofun 柳田布尾山古墳 Yanaidanu-no-Oyama kofun,Himi,,1,3278
Kaga Domain Maeda Clan Graves 加賀藩主前田家墓所 Kaga-han-shu Maeda-ke bosho,Takaoka,designation includes an area of Kanazawa in Ishikawa Prefecture,7,00003621
Kaetsu Territory Castle Sites and Roads 加越国境城跡群及び道 切山城跡 松根城 跡 小原越 Kaetsu-kuni-zakai shiro ato-gun oyobi michi Kiriyama-jō ato Matsune-jō ato Ohara-goe,Oyabe,"designation includes the sites of Kiriyama Castle , Matsune Castle , and Ohara Pass and an area of Kanazawa in Ishikawa Prefecture",6,00003879
