School,Town,Team Name,Enrollment,IHSA Classes 2/3/4
Burlington Central High School,Burlington,Rockets,1063.5,AA/2A/3A
Cary-Grove High School,Cary,Trojans,1718,AA/3A/4A
Crystal Lake Central High School,Crystal Lake,Tigers,1526.5,AA/2A/3A
Crystal Lake South High School,Crystal Lake,Gators,1493,AA/2A/3A
Dundee-Crown High School,Carpentersville,Chargers,2467,AA/3A/4A
Hampshire High School,Hampshire,Whip-Purs,1612,AA/2A/3A
Huntley High School,Huntley,Red Raiders,3020.5,AA/3A/4A
Jacobs High School,Algonquin,Golden Eagles,2145.5,AA/3A/4A
McHenry High Schools,McHenry,Warriors,2209,AA/3A/4A
Prairie Ridge High School,Crystal Lake,Wolves,1446.5,AA/2A/3A
