Medal,Name,Games,Sport,Event
Gold,Carlos Lopes,1984 Los Angeles,Athletics,Men 's marathon
Gold,Rosa Mota,1988 Seoul,Athletics,Women 's marathon
Gold,Fernanda Ribeiro,1996 Atlanta,Athletics,Women 's 10000 metres
Gold,Nelson Évora,2008 Beijing,Athletics,Men 's triple jump
Silver,Duarte Bello Fernando Bello,1948 London,Sailing,Swallow
Silver,Mário Quina José Quina,1960 Rome,Sailing,Star
Silver,Carlos Lopes,1976 Montreal,Athletics,Men 's 10000 metres
Silver,Armando Marques,1976 Montreal,Shooting,Mixed trap
Silver,Francis Obikwelu,2004 Athens,Athletics,Men 's 100 metres
Silver,Sérgio Paulinho,2004 Athens,Cycling,Men 's road race
Silver,Vanessa Fernandes,2008 Beijing,Triathlon,Women 's competition
Silver,Fernando Pimenta Emanuel Silva,2012 London,Canoeing,Men 's K-2 1000 metres
Bronze,António Borges Hélder de Souza José Mouzinho,1924 Paris,Equestrian,Team jumping
Bronze,Frederico Paredes Henrique da Silveira João Sassetti Jorge de Paiva Mário de Noronha Paulo d'Eça Leal,1928 Amsterdam,Fencing,Men 's team épée
Bronze,Domingos de Sousa José Beltrão Luís Mena e Silva,1936 Berlin,Equestrian,Team jumping
Bronze,Fernando Paes Francisco Valadas Luís Mena e Silva,1948 London,Equestrian,Team dressage
Bronze,Joaquim Fiúza Francisco de Andrade,1952 Helsinki,Sailing,Star
Bronze,António Leitão,1984 Los Angeles,Athletics,Men 's 5000 metres
Bronze,Rosa Mota,1984 Los Angeles,Athletics,Women 's marathon
Bronze,Hugo Rocha Nuno Barreto,1996 Atlanta,Sailing,Men 's 470
