Member,Electoral district,Party
Duncan Lloyd McLeod,Arthur,United Farmers
William Bayley,Assiniboia,Independent Labour Party
George Little,Beautiful Plains,United Farmers
William J . Short,Birtle,United Farmers
John Edmison,Brandon City,Independent
Albert Préfontaine,Carillon,United Farmers
William H. Spinks,Cypress,Conservative
Archibald Esplen,Dauphin,Liberal
Duncan Stuart McLeod,Deloraine,United Farmers
William Brown,Dufferin,United Farmers
Dmytro Yakimischak,Emerson,Independent
Nicholas Hryhorczuk,Ethelbert,United Farmers
Albert Kirvan,Fairford,Liberal
Nicholas Bachynsky,Fisher,United Farmers
Arthur Berry,Gilbert Plains,United Farmers
Michael Rojeski,Gimli,Liberal
Albert McGregor,Gladstone,United Farmers
James Breakey,Glenwood,Liberal
Thomas Wolstenholme,Hamiota,United Farmers
Arthur Boivin,Iberville,United Farmers
