Name,Main Title,Dynasty,Date,Comment
Aahotepre,Pharaoh,14th dynasty,( fl . c. mid-17th century BC ),A pharaoh of Canaanite descent from the 14th Dynasty possibly identical to 'Ammu
Aat,Queen,12th dynasty,( fl . c. late-19th century BC ),Queen and wife of Amenemhat III
Abar,Queen,25th dynasty,( fl . c. mid-8th century BC ),"An Egyptian queen , the mother of King Taharqa and probably the wife of King Piye"
Achillas,Military commander,Ptolemaic,( fl . mid-1st century BC ),Commander under the Ptolemaic Egyptian king Ptolemy XIII . Executed at the orders of Arsinoe IV of Egypt by Ganymedes
Addaya,Diplomat,18th dynasty,( fl . c. mid-14th century BC ),Egyptian commissioner in southern Canaan mentioned in the Amarna letters . He probably served under Pharaohs Amenhotep III and/or Akhenaten
Agathoclea,Mistress,Ptolemaic,( fl . c. late-3rd century BC ),"Mistress of the Ptolemaic king Ptolemy IV Philopator and sister of his chief minister , Agathocles . Together , they managed to achieve complete influence over Ptolemy IV"
Agathocles,Minister,Ptolemaic,( fl . c. late-3rd century BC ),"Chief minister of the Ptolemaic king Ptolemy IV Philopator and brother of the king 's mistress Agathoclea . Together , they managed to achieve complete influence over Ptolemy IV"
Ahaneith,Queen,1st dynasty,( fl . c. 30th century BC ),Wife of King Djet
Ahhotep I,Queen,17th dynasty,( fl . c. mid-16th century BC ),"A daughter of Queen Tetisheri and Senakhtenre Ahmose , and was probably the sister , as well as the wife , of pharaoh Seqenenre Tao . Ahhotep reigned as regent until her son , Ahmose I , was of age . Also known as Ahhotpe or Aahhotep"
Ahhotep II,Queen,17th dynasty,( fl . c. mid-16th century BC ),Probably the Great Royal Wife of pharaoh Kamose
Ahmes,Scribe,17th dynasty,( fl . c. mid-17th century BC ),"He wrote the Rhind Mathematical Papyrus , a work of Ancient Egyptian mathematics . Also called Ahmose"
Senakhtenre Ahmose,Pharaoh,17th dynasty,fl . c. mid-16th century BC,"Pharaoh of the late 17th dynasty , his existence and complete name were confirmed by recent archeological discoveries"
Ahmose I,Pharaoh,18th dynasty,( reigned c. 1549 BC - c. 1524 BC ),"Founder of the 18th dynasty . He was a son of pharaoh Seqenenre Tao and brother of the last pharaoh of the seventeenth dynasty , Kamose . During his reign , he completed the conquest and expulsion of the Hyksos from the delta region and restored Theban rule over the whole of Egypt"
Ahmose,Princess,17th dynasty,( fl . c. mid-16th century BC ),A daughter of pharaoh Seqenenre Tao by his sister-wife Sitdjehuti . Ahmose was a half-sister of Pharaoh Ahmose I
Ahmose,Queen,18th dynasty,( fl . c. mid-16th century BC ),"Wife of 18th dynasty pharaoh , Thutmose I , and the mother of queen and later , pharaoh , Hatshepsut"
Ahmose,King 's son High Priest of Re,18th dynasty,( fl . c. late 15th century BC ),Probably a son of pharaoh Amenhotep II . He was in office as High Priest of Re in Heliopolis during the reign of his brother Thutmose IV
"Ahmose , son of Ebana",Military Commander,17th/18th dynasty,( fl . c. mid to late-16th century BC ),"Served in the Egyptian military under the 17th and 18th dynasty pharaohs Seqenenre Tao , Ahmose I , Amenhotep I , and Thutmose I"
Ahmose-ankh,Prince,18th dynasty,( fl . c. mid-16th century BC ),A son of Pharaoh Ahmose I and queen Ahmose Nefertari . He was the crown prince but pre-deceased his father
Ahmose-Henutemipet,Princess,17th/18th dynasty,( fl . c. late-16th century BC ),A daughter of Pharaoh Seqenenre Tao and probably Queen Ahhotep I . She was the sister of Ahmose I
Ahmose-Henuttamehu,Princess / Queen,17th/18th dynasty,( fl . c. late-16th century BC ),Daughter of 17th dynasty pharaoh Seqenenre Tao by his sister-wife Ahmose-Inhapi . She was probably married to her half-brother Pharaoh Ahmose I . Ahmose-Henuttamehu was a half-sister to queen Ahmose-Nefertari
