Award,Named after,Field,Achievement
Davey O'Brien Award,Davey O'Brien,American football,Outstanding quarterback in U.S. college football
Larry O'Brien Championship Trophy,Lawrence Larry O'Brien,Basketball,NBA championship trophy
Lawrence O'Brien Award,Lawrence O'Brien,Politics,Outstanding service to the U.S. Democratic Party and its candidates
Kenzaburō Ōe Prize,Kenzaburō Ōe,Literature,
Ōfuji Noburō Award,Noburō Ōfuji,Animation,
Lute Olson Award,Lute Olson,Basketball,Outstanding player in NCAA Division I men 's college basketball who has played for more than one season at his current school
Laurence Olivier Award,Laurence Olivier,Theatre,Excellence in acting in London West End shows
Buck O'Neil Lifetime Achievement Award,Buck O'Neil,Baseball,Awarded by the U.S . Baseball Hall of Fame for positive contributions to baseball in society
Tip O'Neill Award,James Tip O'Neill,Baseball,A Canadian judged to have excelled in individual achievement and team contribution while adhering to the highest ideals of the game of baseball
Ortega y Gasset Awards,José Ortega y Gasset,Journalism,Outstanding accomplishment in Spanish-language journalism
Orteig Prize,Raymond Orteig,Aviation,First aviator of the Allies of World War I to fly nonstop between New York and Paris in either direction . Awarded to Charles Lindbergh for his 1927 solo transatlantic crossing
Otaka Prize,Hisatada Otaka,Composition,
Outland Trophy,John H. Outland,American football,"Outstanding interior lineman , on either offense or defense , in U.S. college football"
