Position,Player,To club,Fee
Goalkeeper,Mohd Solehin Rodzi,DRB-Hicom F.C,align=right| 0
Defender,Mohd Fitri Jamaluddin,Perlis FA,align=right| 0
Defender,Danial Fadzly Abdullah,Retired,align=right| 0
Midfielder,Hafiz Che Hassan,Free agent,align=right| 0
Midfielder,Khairul Anwar Idris,Released,align=right| 0
Midfielder,Azrul Abdul Rahim,Released,align=right| 0
Midfielder,A. Giri Ther,MISC-MIFA,align=right| 0
Midfielder,Mohd Hisyam Shofi,Free agent,align=right| 0
Midfielder,Mohd Syafuan Riduwan,Johor Darul Takzim II,align=right| 0
Forward,Mohd Aminuddin Azmi,UiTM,align=right| 0
Forward,Mohd Haslan Abu Hassan,Free agent,align=right| 0
