Artist,Album,Reached number one,Weeks at number one
José José,Reflexiones,29 June 1985,16
Julio Iglesias,Libra,19 October 1985,10
Miami Sound Machine,Primitive Love,28 December 1985,6
José José,Promesas ( 1986 ),8 February 1986,12
Rocío Jurado,Paloma Brava,3 May 1986,4
José José,Promesas ( 1986 ),31 May 1986,20
Emmanuel,Toda la Vida y Otros Grandes Exitos,1 November 1986,2
José José,Siempre Contigo ( 1987 ),15 November 1986,12
Emmanuel,Solo,7 March 1987,2
José José,Siempre Contigo ( 1987 ),21 March 1987,2
Emmanuel,Solo,4 April 1987,2
José José,Siempre Contigo ( 1987 ),21 March 1987,2
Braulio,Lo Bello y lo Prohibido,7 May 1987,6
Julio Iglesias,Un Hombre Solo,13 June 1987,30
José José,Soy Así,16 January 1988,18
Emmanuel,Entre Lunas,21 May 1988,4
José Luis Rodríguez,Señor Corazón,18 June 1988,12
Camilo Sesto,Amor Libre : 12 Grandes Exitos,10 September 1988,4
Yolandita Monge,Vivencias,8 October 1988,2
Camilo Sesto,Amor Libre : 12 Grandes Exitos,22 October 1988,2
