Years,Flagship station,Play-by-play,Color commentator
1968-1979,WLW/WQCR,Phil Samp,Jimmy Crum
1980,WLW/WQCR,Phil Samp,Bob Johnson
1981,WLW/WQCR,Phil Samp,Andy MacWilliams
1982-1983,WKRC,Phil Samp,Dennis Janson
1984-1985,WKRC,Phil Samp,Donn Burrows
1986,WKRC,Phil Samp,Dave Lapham
1987-1990,WKRC,Phil Samp,Dave Lapham & Ken Anderson
1991,WKRC,Ken Broo,Dave Lapham & Ken Anderson
1992,WKRC,Ken Broo,Dave Lapham
1993-1995,WLW/WQCR,Ken Broo,Dave Lapham
1996,WLW/WQCR,Paul Keels,Dave Lapham
1997-1999,WUBE / WBOB,Pete Arbogast,Dave Lapham
2000-2008,WLW / WOFX / WCKY,Brad Johansen,Dave Lapham
2009-2010,WLW / WCKY / WEBN,Brad Johansen,Dave Lapham
2011-Present,WLW / WCKY / WEBN,Dan Hoard,Dave Lapham
