Recipient,Year,Nationality
Franz Beckenbauer *,"1984 , 2004",Germany
Bobby Charlton,1984,England
Pelé,"1984 , 2004",Brazil
Dino Zoff,1984,Italy
Lev Yashin,1988,Soviet Union
Antonio Carbajal,1992,Mexico
Stanley Matthews,1992,England
Francisco Varallo,1994,Argentina
Alfredo Di Stefano,1994,Argentina
Fritz Walter,1994,Germany
Ferenc Puskás,1994,Hungary
Eusébio,1994,Portugal
Just Fontaine,1994,France
Gunn Nyborg,1994,Norway
Obdulio Varela,1994,Uruguay
Zico,1996,Brazil
Bobby Moore,1996,England
Salif Keita,1996,Mali
Michelle Akers,1998,United States
Larbi Benbarek,1998,Morocco
