,Name on the Register,Date listed,Location,City or town
1,Borough House Plantation,"March 23 , 1972 ( # 72001224 )","South Carolina Highway 261 , 0.8 miles north of its intersection with Secondary Road 76/3 78 33°57′14″N 80°32′16″W / 33.953889°N 80.537778°W / 33.953889 ; -80.537778 ( Borough House Plantation )",Stateburg
2,J. Clinton Brogdon House,"July 1 , 1993 ( # 93000585 )",3755 Boots Branch Rd . 33°48′34″N 80°15′52″W / 33.809444°N 80.264444°W / 33.809444 ; -80.264444 ( J. Clinton Brogdon House ),Sumter
3,Carnegie Public Library,"August 5 , 1994 ( # 94000814 )",219 W. Liberty St. 33°55′14″N 80°20′47″W / 33.920556°N 80.346389°W / 33.920556 ; -80.346389 ( Carnegie Public Library ),Sumter
4,Ellerbe 's Mill,"November 20 , 1974 ( # 74001880 )",About 3 miles south of Rembert off U.S. Route 521 on Rafting Creek 34°04′10″N 80°31′50″W / 34.06944444444445°N 80.53055555555555°W / 34.06944444444445 ; -80.53055555555555 ( Ellerbe 's Mill ),Rembert
5,Goodwill Parochial School,"May 30 , 1997 ( # 97000523 )",295 N. Brick Church Rd . 33°54′44″N 80°08′19″W / 33.912222°N 80.138611°W / 33.912222 ; -80.138611 ( Goodwill Parochial School ),Mayesville
6,Heriot-Moise House,"December 21 , 1989 ( # 89002149 )",Junction of U.S. Route 401 and Brewington Rd . 33°57′36″N 80°18′28″W / 33.96°N 80.307778°W / 33.96 ; -80.307778 ( Heriot-Moise House ),Sumter
7,Holy Cross Episcopal Church,"November 7 , 1973 ( # 73001732 )",South Carolina Highway 261 33°57′45″N 80°31′55″W / 33.9625°N 80.531944°W / 33.9625 ; -80.531944 ( Holy Cross Episcopal Church ),Stateburg
8,Lenoir Store,"July 3 , 1997 ( # 97000744 )",3240 Horatio Rd . 34°01′17″N 80°34′05″W / 34.021389°N 80.568056°W / 34.021389 ; -80.568056 ( Lenoir Store ),Horatio
9,Lincoln High School,"January 27 , 2015 ( # 14001221 )",20-26 Council St. 33°55′08″N 80°20′49″W / 33.9190°N 80.3469°W / 33.9190 ; -80.3469 ( Lincoln High School ),Sumter
10,Magnolia Hall,"September 2 , 1999 ( # 99000101 )",2025 Horatio-Hagood Rd . 34°03′13″N 80°34′08″W / 34.053651°N 80.568779°W / 34.053651 ; -80.568779 ( Magnolia Hall ),Hagood
11,Charles T. Mason House,"July 3 , 1997 ( # 97000745 )",111 Mason Croft 33°55′50″N 80°21′39″W / 33.930487°N 80.360791°W / 33.930487 ; -80.360791 ( Charles T. Mason House ),Sumter
12,Mayesville Historic District,"July 16 , 1979 ( # 79002395 )",Irregular pattern along Lafayette St. 33°59′08″N 80°12′26″W / 33.98555555555556°N 80.20722222222223°W / 33.98555555555556 ; -80.20722222222223 ( Mayesville Historic District ),Mayesville
13,Millford Plantation,"November 19 , 1971 ( # 71000808 )",West of Pinewood on South Carolina Highway 261 33°44′54″N 80°32′15″W / 33.7484°N 80.53745°W / 33.7484 ; -80.53745 ( Millford Plantation ),Pinewood
14,Myrtle Moor,"January 13 , 1983 ( # 83002210 )",Address Restricted,Sumter
15,O'Donnell House,"April 25 , 1996 ( # 96000407 )",120 E. Liberty St. 33°55′10″N 80°20′21″W / 33.919444°N 80.339167°W / 33.919444 ; -80.339167 ( O'Donnell House ),Sumter
16,Orange Grove,"August 19 , 1993 ( # 93000845 )",Junction of South Carolina Highways 43 ( Black River Rd . ) and 441 34°02′42″N 80°26′10″W / 34.045°N 80.436111°W / 34.045 ; -80.436111 ( Orange Grove ),Dalzell
17,Pinewood Depot,"June 10 , 1997 ( # 97000535 )",Junction of East Ave. and Clarke St. 33°44′25″N 80°27′47″W / 33.740278°N 80.463056°W / 33.740278 ; -80.463056 ( Pinewood Depot ),Pinewood
18,Poinsett State Park Historic District,"May 31 , 2016 ( # 16000311 )",6660 Poinsett Park Rd . 33°48′24″N 80°32′22″W / 33.806667°N 80.539444°W / 33.806667 ; -80.539444 ( Poinsett State Park Historic District ),Wedgefield
19,Rip Raps Plantation,"December 12 , 1978 ( # 78002532 )",East of Sumter on South Carolina Highway 378 33°53′57″N 80°09′03″W / 33.8990339°N 80.150945°W / 33.8990339 ; -80.150945 ( Rip Raps Plantation ),Sumter
20,St. Mark 's Church,"January 20 , 1978 ( # 78002530 )",West of Pinewood on South Carolina Highway 51 33°44′50″N 80°30′40″W / 33.747222°N 80.511111°W / 33.747222 ; -80.511111 ( St. Mark 's Church ),Pinewood
