City,Airport,Notes
Bajura,Bajura Airport,
Chainpur,Bajhang Airport,Terminated
Chandannath,Jumla Airport,
Chaurjahari,Chaurjahari Airport,Terminated
Dhangadhi,Dhangadhi Airport,Terminated
Janakpur,Janakpur Airport,Terminated
Jomsom,Jomsom Airport,
Juphal,Dolpa Airport,
Kathmandu,Tribhuvan International Airport,Hub
Lukla,Tenzing-Hillary Airport,
Manthali,Ramechhap Airport,Seasonal
Nepalgunj,Nepalgunj Airport,
Phaplu,Phaplu Airport,Seasonal
Pokhara,Pokhara Airport,
Rara,Talcha Airport,
Simikot,Simikot Airport,
Tulsipur,Dang Airport,Terminated
Tumlingtar,Tumlingtar Airport,Seasonal
