Year,Division,Gold,Silver,Bronze,Venue
1992,Open,William Joly,,,"Barcelona , Spain"
1998,Open,Eric Grauffel,Frederic Loore,Denis Pantel,"Crete , Greece"
2001,Open,Martin Kamenicek,Jorge Ballesteros,Miroslav Havlíček,"Philippsburg , Germany"
2004,Open,Timo Kosiol,Emile Obriot,Maxmilian Wiegand,"Tábor Oparany , Czech Republic"
2004,Standard,Zdenek Liehne,Nemanja Savic,Constantin Materna,"Tábor Oparany , Czech Republic"
2007,Open,Emile Obriot,Maximilian Wiegand,David Blaha,"Cheval Blanc , France"
2007,Production,Zdenek Svehla,Dorian Casarosa,Andrej Hrnciarik,"Cheval Blanc , France"
2010,Open,Jessey Heller,Martina Šerá,Simo Partanen,"Belgrade , Serbia"
2010,Production,Andrej Hrnciarik,Mathieu Lavergne,Ernest Nagy Jun,"Belgrade , Serbia"
2013,Open,Simo Partanen,Daniil Karchev,Francois Belloni,"Barcelos , Portugal"
2013,Standard,Kenneth Handberg,Sotirios-Thomas Zafeiridis,Mats Selven,"Barcelos , Portugal"
2013,Production,Pavel Torgashov,Konstantin Kryuchin,Nikita Kryuchin,"Barcelos , Portugal"
2016,Standard,Danila Pakhomov,Ilya Sologub,Kirill Fedorov,"Felsőtárkány , Hungary"
