Original NFL team,Player,Pos,College,Conf
Buffalo Bills,Bob Patton,C,Delaware,Ind . ( Div . II )
Buffalo Bills,Benny Ricardo,K,San Diego State,Big West
Dallas Cowboys,Hank Bauer,RB,California Lutheran,Ind . ( NAIA )
Dallas Cowboys,Jay Saldi,TE,South Carolina,Ind
Denver Broncos,Glenn Hyde,OT / G,Pittsburgh,Ind
Green Bay Packers,Ken Starch,RB,Wisconsin,Big Ten
New York Giants,Bobby Hammond,RB,Morgan State,MEAC
New York Giants,Gary Shirk,TE,Morehead State,OVC
New York Jets,Clark Gaines,RB,Wake Forest,ACC
New York Jets,James Rosecrans,LB,Penn State,Ind
Philadelphia Eagles,Vince Papale,WR,Saint Joseph,ECC
San Diego Chargers,Charles Aiu,G,Hawaii,Ind
Tampa Bay Buccaneers,Freddie Douglas,WR,Arkansas,SWC
Tampa Bay Buccaneers,Lee McGriff,WR,Florida,SEC
Washington Redskins,Gerard Williams,CB,Langston,Ind . ( NAIA )
