Team,Location,Stadium,Capacity
Budapest Honvéd,Budapest ( Kispest ),Bozsik József Stadion,"10,000"
Debrecen,Debrecen,Nagyerdei Stadion,"20,340"
Diósgyőr,Miskolc,Diósgyőri Stadion,"15,325"
Fehérvár,Székesfehérvár,MOL Aréna Sóstó,"14,201"
Ferencváros,Budapest ( Ferencváros ),Groupama Aréna,"22,000"
Kaposvár,Kaposvár,Rákóczi Stadion,"7,000"
Kisvárda,Kisvárda,Várkerti Stadion,"2,850"
Mezőkövesd,Mezőkövesd,Városi Stadion,"4,183"
Puskás Akadémia,Felcsút,Pancho Aréna,"3,816"
Paks,Paks,Fehérvári úti Stadion,"6,150"
Újpest,Budapest ( Újpest ),Szusza Ferenc Stadion,"13,501"
Zalaegerszeg,Zalaegerszeg,ZTE Aréna,"11,200"
