US,CAN,Album,Artist,Record Label
45,8,An Intimate Evening with Anne Murray,Anne Murray,Capitol
24,,Back to You,Anita Cochran,Warner Bros
23,31,Be Good at It,Neal McCoy,Atlantic
23,11,The Best of Billy Ray Cyrus : Cover to Cover,Billy Ray Cyrus,Mercury Nashville
4,3,The Best of Collin Raye : Direct Hits,Collin Raye,Epic
8,,The Best of John Denver Live,John Denver,Legacy
7,26,Big Time,Trace Adkins,Capitol Nashville
24,,Blink of an Eye,Ricochet,Columbia
,1,Butterfly Kisses ( Shades of Grace ),Bob Carlisle,DMG
1,1,Carrying Your Love with Me,George Strait,MCA Nashville
16,,A Celebration of Life/The Last Recordings,John Denver,River North
,4,CMT Canada '97,Various Artists,BMG
4,6,The Coast Is Clear,Tracy Lawrence,Atlantic
9,8,Collection,Wynonna,Curb/MCA Nashville
1,1,Come On Over,Shania Twain,Mercury/PolyGram
15,11,Complicated,Tanya Tucker,Capitol Nashville
12,,A Country Superstar Christmas,Various Artists,Hip-O
16,28,Crazy Nights,Lonestar,BNA
5,2,Dancin ' on the Boulevard,Alabama,RCA Nashville
8,,Dream Walkin ',Toby Keith,Mercury Nashville
