Name,Location,Type
axxess DSL St Georges,"Port Elizabeth , Eastern Cape",Cricket stadium
Bidvest Stadium,"Johannesburg , Gauteng",Football stadium
BIDVest Wanderers Stadium,"Johannesburg , Gauteng",Cricket stadium
Chevrolet Park,"Bloemfontein , Free State",Cricket stadium
TicketPro Dome,"Johannesburg , Gauteng",Multi-purpose indoor arena
De Beers Diamond Oval,"Kimberley , Northern Cape",Cricket stadium
Emirates Airline Park,"Johannesburg , Gauteng",Rugby union stadium
FNB Stadium,"Johannesburg , Gauteng",Football stadium
Jonsson Kings Park Stadium,"Durban , KwaZulu-Natal",Rugby union stadium
PPC Newlands,"Cape Town , Western Cape",Cricket stadium
DHL Newlands,"Cape Town , Western Cape",Rugby stadium
Sahara Stadium Kingsmead,"Durban , KwaZulu-Natal",Cricket stadium
Sahara Willowmoore Park,"Benoni , Gauteng , Gauteng",Cricket stadium
Senwes Park,"Potchefstroom , North West",Cricket stadium
SuperSport Park,"Centurion , Gauteng",Cricket stadium
Vodacom Park,"Bloemfontein , Free State",Cricket stadium
