Current Governor,State,Past,Took office,Seat Up
Gavin Newsom,California,List,2019,2022
Jared Polis,Colorado,List,2019,2022
Ned Lamont,Connecticut,List,2019,2022
John Carney,Delaware,List,2017,2020
David Ige,Hawaii,List,2014,2022 ( term limited )
J . B. Pritzker,Illinois,List,2019,2022
Laura Kelly,Kansas,List,2019,2022
Andy Beshear,Kentucky,List,2019,2023
John Bel Edwards,Louisiana,List,2016,2023 ( term limited )
Janet Mills,Maine,List,2019,2022
Gretchen Whitmer,Michigan,List,2019,2022
Tim Walz,Minnesota,List,2019,2022
Steve Bullock,Montana,List,2013,2020 ( term limited )
Steve Sisolak,Nevada,List,2019,2022
Phil Murphy,New Jersey,List,2018,2021
Michelle Lujan Grisham,New Mexico,List,2019,2022
Andrew Cuomo,New York,List,2011,2022
Roy Cooper,North Carolina,List,2017,2020
Kate Brown,Oregon,List,2015,2022 ( term limited )
Tom Wolf,Pennsylvania,List,2015,2022 ( term limited )
