District,Name,Political party
At-large,Angel Rosa,PPD
At-large,Aníbal José Torres,PPD
At-large,Antonio Fas Alzamora,PPD
At-large,Cirilo Tirado,PPD
At-large,Eduardo Bhatia,PPD
At-large,Rossana López León,PPD
District I San Juan,José Nadal Power,PPD
District I San Juan,Ramón Luis Nieves,PPD
District IV Mayagüez-Aguadilla,Gilberto Rodríguez,PPD
District IV Mayagüez-Aguadilla,María Teresa González,PPD
District V Ponce,Martín Vargas Morales,PPD
District V Ponce,Ramón Ruiz,PPD
District VI Guayama,Ángel M. Rodríguez Otero,PPD
District VI Guayama,Miguel A. Pereira,PPD
District VII Humacao,Jorge Suárez,PPD
District VII Humacao,José Luis Dalmau,PPD
District VIII Carolina,Luis Daniel Rivera,PPD
District VIII Carolina,Pedro A. Rodríguez,PPD
At-large,Itzamar Peña,PNP
At-large,Larry Seilhamer Rodríguez,PNP
