Year,Horse,Trainer,Owner
1949,Capot,"John M. Gaver , Sr",Greentree Stable
1948,Citation,Ben A. Jones,Calumet Farm
1947,Phalanx,Sylvester Veitch,Cornelius Vanderbilt Whitney
1946,Assault,Max Hirsch,King Ranch
1945,Fighting Step,Charles C. Norman,Murlogg Farm
1944,By Jimminy,James W. Smith,Alfred P. Parker
1943,Count Fleet,Don Cameron,Fannie Hertz
1942,Alsab,Sarge Swenke,Albert Sabath
1941,Whirlaway,Ben A. Jones,Calumet Farm
1940,Bimelech,William A. Hurley,Idle Hour Stock Farm
1939,Challedon,Louis J. Schaefer,Branncastle Farm
1938,Stagehand,Earl Sande,Col. Maxwell Howard
1937,War Admiral,George Conway,Glen Riddle Farm
1936,Granville,James E. Fitzsimmons,"William Woodward , Sr"
