Name,Actor,Main character crossover ( s ),Season ( s )
Sam Austen,Lindsey Ginter,"Kate 's stepfather , Sayid 's captor",2
Tom Brennan,Mackenzie Astin ( adult ) Tanner Maguire ( child ),Kate 's childhood sweetheart,"1 , 5"
Dr. Douglas Brooks,Bruce Davison,Hurley 's doctor,"2 , 6"
Rachel Carlson,Robin Weigert ( adult ) Savannah Lathem ( child ),Juliet 's sister,"3 , 5"
Teresa Cortez,Rachel Ticotin,Ana Lucia 's mother and boss,2
Chrissy,Meilinda Soerjoko,Some crash survivors ' ticket agent,"1 , 2"
JD,John Dixon,Flight attendant in the Oceanic 815,1
Charlie Hume,Marvin DeFreitas,Desmond and Penny 's son,5
Wayne Janssen,James Horan,Kate 's biological father,2
Omer Jarrah,Cas Anvar ( adult ) Xavier Raabe-Manupule ( child ),Sayid 's brother,"5 , 6"
Mary Jo,Brittany Perrineau,"Sawyer 's girlfriend , Hurley 's lottery vendor",1
Mr. Kwon,John Shin,"Jin 's father , Sun 's father-in-law","1 , 3"
Nurse Susie Lazenby,Grisel Toledo,Hurley 's nurse,"2 , 4 , 5 , 6"
Carole Littleton,Susan Duerden,"Claire 's mother , Aaron 's grandmother","3 , 4 , 5"
Lindsey Littleton,Gabrielle Fitzpatrick,Claire 's aunt,"2 , 3"
Susan Lloyd,Tamara Taylor,"Michael 's girlfriend , Walt 's mother","1 , 2"
Emily Annabeth Locke,Swoosie Kurtz ( adult ) Holland Roden ( teenager ),Locke 's mother,"1 , 4"
Richard Malkin,Nick Jameson,"Claire 's psychic , Mr. Eko 's acquaintance","1 , 2"
Jason McCormack,Aaron Gold,Ana Lucia 's attacker and later victim,2
Michael 's mother,Starletta DuPois,"Michael 's mother , Walt 's grandmother",4
