Team,Location,Home Ground,Capacity
Auckland City,Auckland,Kiwitea Street,"3,250"
Canterbury United,Christchurch,ASB Football Park,"9,000"
Eastern Suburbs,Kohimarama,Bill McKinlay Park,"5,000"
Hamilton Wanderers,Hamilton,Porritt Stadium,"5,000"
Hawke 's Bay United,Napier,Bluewater Stadium,"5,000"
Southern United,Dunedin,Forsyth Barr Stadium,"30,500"
Tasman United,Nelson,Trafalgar Park,"18,000"
Team Wellington,Wellington,David Farrington Park,"1,500"
Waitakere United,Waitakere,QBE Stadium,"25,000"
Wellington Phoenix Reserves,Wellington,Newtown Park,"5,000"
