Medal,Name,Games,Sport,Event
Silver,Draženko Mitrović,2008 Beijing,Athletics,Men 's Discus Throw - F53/54
Silver,Borislava Perić,2008 Beijing,Table Tennis,Women 's Individual - Class 4
Gold,Željko Dimitrijević,2012 London,Athletics,Club Throw F31-32/51
Gold,Tanja Dragić,2012 London,Athletics,Javelin Throw - F12/13
Silver,Draženko Mitrović,2012 London,Athletics,Discus Throw F54-56
Silver,Zlatko Kesler,2012 London,Table tennis,Individual C3
Silver,Borislava Perić-Ranković,2012 London,Table tennis,Individual C4
Gold,Željko Dimitrijević,2016 Rio de Janeiro,Athletics,Men 's Club Throw - F51
Gold,Laslo Šuranji,2016 Rio de Janeiro,Shooting,Men 's 50m rifle 3 positions SH1
Gold,Borislava Perić-Ranković,2016 Rio de Janeiro,Table tennis,Individual C4
Silver,Miloš Mitić,2016 Rio de Janeiro,Athletics,Men 's Club Throw - F51
Silver,Nada Matić Borislava Perić-Ranković,2016 Rio de Janeiro,Table tennis,Women 's Team - Class 4-5
Bronze,Nemanja Dimitrijević,2016 Rio de Janeiro,Athletics,Men 's Javelin Throw - F12/13
Bronze,Laslo Šuranji,2016 Rio de Janeiro,Shooting,Mixed 50m rifle prone SH1
Bronze,Mitar Palikuća,2016 Rio de Janeiro,Table tennis,Individual C5
Bronze,Nada Matić,2016 Rio de Janeiro,Table tennis,Individual C4
