Year,Title,Role,Notes
1984,Knight Rider,Su-Lin,Episode 3.1 Knight of the Drones
1985,MacGyver,Lin,Episode 1.2 The Golden Triangle
1985,Miami Vice,May Ying,Episode 1.14 Golden Triangle
1989,Wiseguy,Maxine Tzu,Episode All or Nothing
1990,Twin Peaks,Jocelyn 'Josie ' Packard,"TV series - Series regular ( 2 seasons , 1990-1991 )"
1992,Strangers,The Girl,TV movie
1992,Shadow of a Stranger,Vanessa,TV movie
1992,Nightmare Cafe,First customer,Episode 1.1 Nightmare Cafe
1993,Tales from the Crypt,Connie,Episode 5.4 Food for Thought
1997,Homicide : Life on the Street,Elizabeth Wu,Episode 5.15 Wu 's on First ?
1998,The Outer Limits,Major Dara Talif,Episode 4.24 Phobos Rising
1999,In a Class of His Own,Linda Ching,TV movie
2009,Newcomers to the Middle-Aged 人到中年,Tian Wenjie / 田文洁,TV series
2010,Journey to the West 西游记,Guan Yin / 观音,TV series
2011,Fringe,Reiko,Episode 3.13 Immortality
2012,Hemingway & Gellhorn,Madame Chiang Kai-shek,HBO TV movie
2012,Sui Tang Yingxiong 隋唐英雄,Empress Dugu / 独孤后,TV series
2013,Serangoon Road,Patricia Cheng,TV series
2013,Meng 's Palace 海上孟府,Er Jie / 二姐,TV series
2014,Marco Polo,Chabi,TV series
