Rank,Airport,Serves,Aircraft movements,Annual change
1,Toronto Pearson International Airport,Greater Toronto Area,"435,592",1.2%
2,Vancouver International Airport,Metro Vancouver,"300,063",0.5%
3,Calgary International Airport,Calgary,"240,709",1.5%
4,Montréal-Pierre Elliott Trudeau International Airport,Greater Montreal,"231,775",-0.1%
5,Ottawa Macdonald-Cartier International Airport,Ottawa,"160,405",-6.6%
6,Montréal/Saint-Hubert Airport,Greater Montreal,"151,816",-8.9%
7,Boundary Bay Airport,Greater Vancouver,"148,674",1.2%
8,Edmonton International Airport,Edmonton Capital Region,"142,269",3.8%
9,Buttonville Municipal Airport,Markham,"138,676",1.5%
10,Victoria International Airport,Victoria,"137,054",-3.2%
11,Québec City Jean Lesage International Airport,Quebec City,"133,673",3.7%
12,Calgary/Springbank Airport,Calgary,"132,677",-0.4%
13,Winnipeg James Armstrong Richardson International Airport,Winnipeg,"131,237",-5.1%
14,Billy Bishop Toronto City Airport,Toronto,"114,486",2.8%
15,Abbotsford International Airport,Abbotsford,"108,429",9.9%
16,Thunder Bay International Airport,Thunder Bay,"108,130",10.6%
17,Region of Waterloo International Airport,Regional Municipality of Waterloo,"103,433",6.3%
18,St. Andrews Airport,Winnipeg,"91,130",-14.2%
19,Saskatoon John G. Diefenbaker International Airport,Saskatoon,"91,086",-3.3%
20,Pitt Meadows Airport,Pitt Meadows,"87,123",-26.7%
