Rank,Title,Distributor,Worldwide gross
1,The Lion King,Disney,"$ 763,455,561"
2,Forrest Gump,Paramount,"$ 677,945,399"
3,True Lies,20th Century Fox,"$ 378,882,411"
4,The Mask,Warner Bros,"$ 351,583,407"
5,Speed,20th Century Fox,"$ 350,448,145"
6,The Flintstones,Universal,"$ 341,631,208"
7,Dumb and Dumber,Warner Bros,"$ 247,275,374"
8,Four Weddings and a Funeral,Gramercy,"$ 245,700,832"
9,Interview with the Vampire,Warner Bros,"$ 223,664,608"
10,Clear and Present Danger,Paramount,"$ 215,887,717"
