Medal,Name,Sport,Event
Gold,Patrick Ortlieb,Alpine Skiing,Men 's Downhill
Gold,Petra Kronberger,Alpine Skiing,Women 's Combined
Gold,Petra Kronberger,Alpine Skiing,Women 's Slalom
Gold,Ingo Appelt Harald Winkler Gerhard Haidacher Thomas Schroll,Bobsleigh,Four-Man
Gold,Doris Neuner,Luge,Women 's Singles
Gold,Ernst Vettori,Ski Jumping,Men 's Normal Hill
Silver,Anita Wachter,Alpine Skiing,Women 's Combined
Silver,Anita Wachter,Alpine Skiing,Women 's Giant Slalom
Silver,Markus Prock,Luge,Men 's Singles
Silver,Angelika Neuner,Luge,Women 's Singles
Silver,Martin Höllwarth,Ski Jumping,Men 's Normal Hill
Silver,Martin Höllwarth,Ski Jumping,Men 's Large Hill
Silver,Heinz Kuttin Ernst Vettori Martin Höllwarth Andreas Felder,Ski Jumping,Men 's Team Large Hill
Bronze,Günther Mader,Alpine Skiing,Men 's Downhill
Bronze,Michael Tritscher,Alpine Skiing,Men 's Slalom
Bronze,Veronika Stallmaier,Alpine Skiing,Women 's Downhill
Bronze,Markus Schmidt,Luge,Men 's Singles
Bronze,Klaus Sulzenbacher,Nordic Combined,Men 's Individual
Bronze,Klaus Ofner Stefan Kreiner Klaus Sulzenbacher,Nordic Combined,Men 's 3 x 10 km Relay
Bronze,Heinz Kuttin,Ski Jumping,Men 's Large Hill
