Name,Line,County,Opened,Closed,Fare Zone
Albertson,Oyster Bay Branch,Nassau,1875 1913,present,7
Amagansett,Montauk Branch,Suffolk,1895,present,14
Amityville,Montauk Branch ( Babylon Branch ),Suffolk,1867,present,9
Atlantic Terminal,Atlantic Branch ( City Terminal Zone ),Brooklyn,1877,present,1
Auburndale,Port Washington Branch,Queens,1901,present,3
Babylon,Montauk Branch ( Babylon Branch ),Suffolk,1867,present,9
Baldwin,Montauk Branch ( Babylon Branch ),Nassau,1867,present,7
Bay Shore,Montauk Branch,Suffolk,1868,present,10
Bayside,Port Washington Branch,Queens,1866,present,3
Bellerose,Hempstead Branch,Nassau,1898,present,4
Bellmore,Montauk Branch ( Babylon Branch ),Nassau,1870,present,7
Bellport,Montauk Branch,Suffolk,1882,present,12
Belmont Park,Belmont Park Branch,Queens,1905 1957,1957 present,4
Bethpage,Main Line ( Ronkonkoma Branch ),Nassau,1854,present,7
Boland 's Landing,Atlantic Branch,Queens,,present,
Brentwood,Main Line ( Ronkonkoma Branch ),Suffolk,1870 1903 1987,1903 1987 present,10
Bridgehampton,Montauk Branch,Suffolk,1870,present,14
Broadway,Port Washington Branch,Queens,1866,present,3
Carle Place,Main Line ( Port Jefferson Branch ),Nassau,1842,Present,7
Cedarhurst,Far Rockaway Branch,Nassau,1869 1887,1876 present,4
