Character,Species,Origin
18,Owl,Sankarea
003,Owlet,Descendants of Darkness
Adler,Eagle,Driland
Ash,Vulture,El Americano : The Movie
Ajax,Lammergeier,Zambezia
Astarte,Falcon,The Missing Lynx
Aurora,Red-tailed hawk,Adventures from the Book of Virtues
Avenger,Eagle,Birdman and the Galaxy Trio
The Bald Eagle,Bald eagle,Tiny Toon Adventures
Big Mama,Owl,The Fox and the Hound
Beaky Buzzard,Buzzard,"Looney Tunes , Merrie Melodies"
Blue Eagle,Eagle,Happy Tree Friends
Buzz Buzzard,Common buzzard,Woody Woodpecker
"Buzzy , Dizzy , Flaps , and Ziggy",Vultures,The Jungle Book
Chip,Bald eagle,The Little Engine That Could
Cat,Owl,Shounen Hollywood : Holly Stage for 49
Chief Sekhuru,African fish eagle,Zambezia
Concord Condor,Condor,Tiny Toons Adventures
Cubasil,Owl,Zero no Tsukaima
Divino,Owl,El Americano : The Movie
