Country,City,Track name,Elevation ( m ),Finished
Belarus,Minsk,Minsk Arena,209,2010
Canada,Calgary,Olympic Oval,1105,1987
Canada,Fort St. John,Pomeroy Sport Centre,671,2009
Canada,Richmond,Richmond Olympic Oval,4,2008*
China,Changchun,Jilin Provincial Speed Skating Rink,210,2005
China,Daqing,Daqing Stadium,149,2005
China,Harbin,Heilongjiang Indoor Rink,141,1995
China,Qiqihar,Indoor Icerink,146,2007
China,Shenyang,Bayi Speed Skating Oval,48,1999
China,Ürümqi,Xinjiang Ice Sport Centre,1710,2015
Germany,Berlin,Sportforum Hohenschönhausen,34,1985
Germany,Erfurt,Gunda Niemann-Stirnemann Halle,214,2001
Germany,Inzell,Max Aicher Arena,690,2011
Italy,Torino,Oval Lingotto,233,2005
Japan,Nagano,M-Wave,346,1996
Japan,Obihiro,Meiji Hokkaido-Tokachi Oval,79,2009
Kazakhstan,Astana,Alau Ice Palace,348,2011
Netherlands,Breda,Kunstijsbaan Breda,5,2001
Netherlands,Dronten,Leisure World Ice Center,-3,1998
Netherlands,Enschede,IJsbaan Twente,27,2008
