Rank,Athlete,Nationality,Time
1,Nick Rose,England,23:12.4
2,Ray Smedley,England,23:17.4
3,Jim Brown,Scotland,24:02
4,Steve Kenyon,England,24:16.2
5,Kamel Guemar,Algeria,24:30.4
6,Franco Fava,Italy,24:33.6
7,Ramon Sanchez,Spain,24:35.5
8,Aldo Tomasini,Italy,24:40
9,Peter Adams,England,24:42
10,Eddy Van Mullem,Belgium,24:44.4
11,Eric De Beck,Belgium,24:45.8
12,Ricardo Ortega,Spain,24:46.6
13,Ian Gilmour,Scotland,24:49
14,Ron MacDonald,Scotland,24:51.2
15,Alain Grandfils,France,24:52.2
16,Greg Hannon,Northern Ireland,24:53.4
17,Eddie Leddy,Ireland,24:55.6
18,Eamonn Coghlan,Ireland,24:58
19,Gerry Hannon,Northern Ireland,25:01
20,William Burns,Scotland,25:02.4
