Name of aircraft,Year in service,Country of origin
Ambrosini S.7,1943,Italy
Ambrosini SAI.10 Grifone,1940,Italy
Arado Ar 65,1931,Germany
Arado Ar 66,1933,Germany
Arado Ar 68,1936,Germany
Arado Ar 96,1939,Germany
Avia B.122,1934,Czechoslovakia
Bücker Bü 133,1938,Germany
CAC Wirraway,1939,Australia
Kaproni Bulgarski KB-2/3/4/5,1931,Bulgaria
Caudron C.690,1939,France
Curtiss-Wright CW-22/SNC Falcon,1942,US
Focke-Wulf Fw 56,1935,Germany
Fokker D.XVII,1932,Netherlands
Hawker Hart Trainer,1930,UK
I.Ae . 22 DL,1944,Argentina
IMAM Ro.41,1935,Italy
Koolhoven F.K.56,1938,Netherlands
Messerschmitt Bf 108,1935,Germany
Miles Master,1939,UK
