Name,Club,Appointed,Time in charge
Ayman Elramady,Ajman,3 June 2016,"3 years , 250 days"
Abdulaziz Mohamed,Sharjah,15 October 2017,"2 years , 116 days"
Vuk Rašović,Al Dhafra,30 June 2018,"1 year , 223 days"
Rodolfo Arruabarrena,Shabab Al-Ahli,14 October 2018,"1 year , 117 days"
Laurențiu Reghecampf,Al Wasl,26 December 2018,"1 year , 44 days"
Christos Kontis,Hatta,10 June 2019,243 days
Madjid Bougherra,Fujairah,16 June 2019,237 days
Winfried Schäfer,Baniyas,8 July 2019,215 days
Jorge Da Silva,Kalba,12 October 2019,119 days
Marcel Keizer,Al Jazira,13 October 2019,118 days
Krunoslav Jurčić,Al Nasr,14 October 2019,117 days
Manuel Jiménez,Al Wahda,17 October 2019,114 days
Goran Tufegdžić,Khor Fakkan,31 October 2019,100 days
Pedro Emanuel,Al Ain,5 January 2020,34 days
