Medal,Name,Sport,Event
Gold,Myriam Bédard,Biathlon,Women 's 7.5 km sprint
Gold,Myriam Bédard,Biathlon,Women 's 15 km
Gold,Jean-Luc Brassard,Freestyle skiing,Men 's moguls
Silver,Elvis Stojko,Figure skating,Men 's singles
Silver,Philippe Laroche,Freestyle skiing,Men 's aerials
Silver,Canada men 's national ice hockey team Corey Hirsch Adrian Aucoin Derek Mayer Brad Werenka Ken Lovsin Todd Hlushko Fabian Joseph Brad Schlegel Paul Kariya Dwayne Norris Greg Johnson Brian Savage Wally Schreiber Todd Warriner Greg Parks Petr Nedvěd Mark Astley Jean-Yves Roy Chris Kontos David Harlock Manny Legace Allain Roy Chris Therien,Ice hockey,Men 's competition
Silver,Nathalie Lambert,Short track speed skating,Women 's 1000 m
Silver,Christine Boudrias Isabelle Charest Angela Cutrone Sylvie Daigle,Short track speed skating,Women 's 3000 m relay
Silver,Susan Auch,Speed skating,Women 's 500 m
Bronze,Ed Podivinsky,Alpine skiing,Men 's downhill
Bronze,Isabelle Brasseur Lloyd Eisler,Figure skating,Pairs
Bronze,Lloyd Langlois,Freestyle skiing,Men 's aerials
Bronze,Marc Gagnon,Short track speed skating,Men 's 1000 m
