Date,Sport,Venue/Event,Status,Winner/s
1,Athletics,2015 IAAF Race Walking Challenge,International,Men : Chen Ding Women : DUAN Dandan
1-17,Ice hockey,2015 IIHF World Championship,International,Canada
2,Horse racing,2015 2000 Guineas Stakes,Domestic,Horse : Gleneagles Jockey : Ryan Moore Trainer : Aidan O'Brien
2,Horse racing,2015 Kentucky Derby,Domestic,Horse : American Pharoah Jockey : Victor Espinoza Trainer : Bob Baffert
2,Rugby union,2015 European Rugby Champions Cup Final,Continental,Toulon
2-3,Athletics,2015 IAAF World Relays,International,United States
3,Motorcycle racing,Spanish motorcycle Grand Prix,International,MotoGP : Jorge Lorenzo ( Movistar Yamaha MotoGP ) Moto2 : Jonas Folger ( AGR Team ) Moto3 : Danny Kent ( Leopard Racing )
3,Road running,Wings for Life World Run 2015,International,Lemawork Ketema Yuuko Watanabe
3-10,Tennis,2015 Mutua Madrid Open,International,Men : Andy Murray Women : Petra Kvitová
6-10,Volleyball,2015 FIVB Volleyball Women 's Club World Championship,International,Eczacıbaşı VitrA
6-10,Amateur wrestling,2015 Asian Wrestling Championships,Continental,Men 's Freestyle : Iran Men 's Greco-Roman : Iran Women 's Freestyle : Japan Overall winners : Iran
6-22,Association football,2015 UEFA European Under-17 Championship,Continental,France
7-10,Golf,2015 Players Championship,International,Rickie Fowler
8-18,Multi-sport,2015 IBSA World Championships and Games,International,Russia
9-10,Triathlon,Triathlon World Cup # 3,International,Men : Ryan Fisher Women : Renee Tomlin
9-31,Road Cycling,2015 Giro d'Italia,International,Alberto Contador ( Tinkoff-Saxo )
11-17,Tennis,2015 Internazionali BNL d'Italia,International,Men : Novak Djokovic Women : Maria Sharapova
10,Formula One,2015 Spanish Grand Prix,International,Nico Rosberg ( Mercedes )
14,Association football,2015 UEFA Women 's Champions League Final,Continental,Frankfurt
12-18,Taekwondo,2015 World Taekwondo Championships,International,Men : Iran Women : South Korea
