Name,Khmer name,Leader,Created,Dissolved,Notes
Buddhist Liberal Democratic Party,គណបក្សប្រជាធិបតេយ្យសេរីនិយមព្រះពុទ្ធសាសនា,Son Sann,1993,1997,
Cambodian National Unity Party,គណបក្សសាមគ្គីជាតិកម្ពុជា,Khieu Samphan and Son Sen,1992,1997,
Communist Party of Kampuchea,បក្សកុម្មុយនីស្តកម្ពុជា,Pol Pot,1951,1982,Ruling party from 1976 to 1982
Democratic Party,ក្រុមប្រជាធិបតេយ្យ,Norodom Phurissara,1946,1957,Ruling party from 1946 to 1955
Democratic National Union Movement,បក្សសាមគ្គីជាតិខ្មែរ,Ieng Sary,1996,1998,
Khmer National Solidarity Party,ចលនាសហភាពជាតិប្រជាធិបតេតយ្យ,Khieu Samphan,1997,1998,
Khmer People 's National Liberation Front,រណសិរ្សរំដោះជាតិខ្មែរ,Son Sann,1979,1993,Succeeded by the Buddhist Liberal Democratic Party
Khmer Renovation,គណបក្ស កំណែទម្រង់ខ្មែរ,Sisowath Monipong,1947,1955,Merged with Sangkum Reastr Niyum
Khmer Serei,ខ្មែរសេរី,Son Ngoc Thanh,1957,1976,Merged into the Khmer People 's National Liberation Front
Liberal Party,គណបក្សសេរីនិយម,Norodom Norindeth,1946,1955,Merged with Sangkum Reastr Niyum
Liberal Democratic Party,គណបក្សប្រជាធិបតេយ្យសេរី,Sak Sutsakhan,1992,1998,
MOULINAKA,ម៉ូលីណាកា,Prum Neakareach,1979,1998,
Party of Democratic Kampuchea,គណបក្សកម្ពុជាប្រជាធិបតេយ្យ,Pol Pot,1981,1993,Succeeded by the Cambodian National Unity Party
Pracheachon,ក្រុមប្រជាជន,"Keo Meas , Non Suon , and Penn Yuth",1954,1972,
Progressive Democrats,គណបក្សប្រជាធិបតេយ្យរីកចម្រើន,Norodom Montana,1947,1955,Merged with Sangkum Reastr Niyum
Republican Party,គណបក្សសាធារណរដ្ឋ,Sisowath Sirik Matak,1972,1975,
Sangkum Reastr Niyum,សង្គមរាស្ត្រនិយម,Norodom Sihanouk,1955,1970,Ruling party from 1955 to 1970
Social Republican Party,គណបក្សសង្គមសាធារណរដ្ឋ,Lon Nol,1972,1975,Ruling party from 1972 to 1975
United Issarak Front,ខ្មែរឥស្សរៈ,Son Ngoc Minh,1950,1954,
