Team,Coach,Captain,Kit manufacturer,Shirt sponsor
DRB-Hicom,G. Torairaju,Abdullah Yusof,Kappa,DRB-HICOM
Felda United,Irfan Bakti Abu Salim,Muhammad Shukor Adan,Puma,FGV
Johor Darul Takzim II,Rajko Magic,Shahril Ishak,Nike,Jcorp
Kedah,Tan Cheng Hoe,Baddrol Bakhtiar,Line 7,PKNK
Negeri Sembilan,V. Sundramoorthy,Norhafiz Zamani Misbah,Kika,Matrix Concepts
PBAPP,Yunus Alif,Mat Saiful Mohammad,Joma,PBA Pulau Pinang
PDRM,Dollah Salleh,Mohd Afif Amiruddin,Kappa,Perkasa Jauhari
Penang,K. Devan,Mohd Azizan Baba,Umbro,ASPEN Group
Perlis,Reduan Abdullah,S. Suvinart,Xtep,Canggih
Putrajaya SPA,Mohd Shah Alias Norbit,Sazali Suwandi,Erreà,SPA
Sabah,Milomir Šešlija,Julamri Muhammad,Carino,Grace One
UiTM,Azuan Zain,Muhammad Ashraf Zulkapli,Umbro,KPT
