Medal,Name,Sport,Event,Date
Gold,Georg Hackl,Luge,Men 's individual,9 February
Gold,Gunda Niemann-Stirnemann,Speed skating,Women 's 3000 m,11 February
Gold,Silke Kraushaar,Luge,Women 's individual,11 February
Gold,Nicola Thost,Snowboarding,Women 's halfpipe,12 February
Gold,Stefan Krauße Jan Behrendt,Luge,Men 's doubles,13 February
Gold,Katja Seizinger,Alpine skiing,Women 's downhill,16 February
Gold,Katja Seizinger,Alpine skiing,Women 's combined,17 February
Gold,Hilde Gerg,Alpine skiing,Women 's slalom,19 February
Gold,Uschi Disl Martina Zellner Katrin Apel Petra Behle,Biathlon,Women 's 4 × 7.5 km relay,19 February
Gold,Claudia Pechstein,Speed skating,Women 's 5000 m,20 February
Gold,Ricco Groß Peter Sendel Sven Fischer Frank Luck,Biathlon,Men 's 4 × 7.5 km relay,21 February
Gold,Christoph Langen Markus Zimmermann Marco Jakobs Olaf Hampel,Bobsleigh,Four-man,21 February
Silver,Heidi Renoth,Snowboarding,Women 's giant slalom,10 February
Silver,Tatjana Mittermayer,Freestyle skiing,Women 's moguls,11 February
Silver,Claudia Pechstein,Speed skating,Women 's 3000 m,11 February
Silver,Barbara Niedernhuber,Luge,Women 's individual,11 February
Silver,Uschi Disl,Biathlon,Women 's 7.5 km sprint,15 February
Silver,Gunda Niemann-Stirnemann,Speed skating,Women 's 1500 m,16 February
Silver,Sven Hannawald Martin Schmitt Hansjörg Jäkle Dieter Thoma,Ski jumping,Men 's team large hill ( K120 ),17 February
Silver,Martina Ertl,Alpine skiing,Women 's combined,17 February
