Pick,Player,Date signed,Team signed,School/Club Team
1,Andrea Bargnani,July 1,Toronto Raptors,Italy
2,LaMarcus Aldridge,July 4,Portland Trail Blazers,Texas
3,Adam Morrison,July 3,Charlotte Bobcats,Gonzaga
4,Tyrus Thomas,July 1,Chicago Bulls,LSU
5,Shelden Williams,July 10,Atlanta Hawks,Duke
6,Brandon Roy,July 4,Portland Trail Blazers,Washington
7,Randy Foye,July 1,Minnesota Timberwolves,Villanova
8,Rudy Gay,July 12,Memphis Grizzlies,Connecticut
9,Patrick O'Bryant,July 3,Golden State Warriors,Bradley
10,Mouhamed Sene,July 6,Seattle SuperSonics,Vervier Pepinsters ( Belgium )
11,J.J. Redick,July 3,Orlando Magic,Duke
12,Hilton Armstrong,July 5,New Orleans/Oklahoma City Hornets,Connecticut
13,Thabo Sefolosha,July 6,Chicago Bulls,Angelico Biella ( Italy )
14,Ronnie Brewer,July 7,Utah Jazz,Arkansas
15,Cedric Simmons,July 4,New Orleans/Oklahoma City Hornets,NC State
16,Rodney Carney,July 8,Philadelphia 76ers,Memphis
17,Shawne Williams,July 6,Indiana Pacers,Memphis
18,Oleksiy Pecherov,-,Washington Wizards,Ukraine
19,Quincy Douby,July 3,Sacramento Kings,Rutgers
20,Renaldo Balkman,July 5,New York Knicks,South Carolina
