Year,Winner,Points,Playoff Result
1926-27,Ottawa Senators,64,Won Stanley Cup*
1927-28,Montreal Canadiens,59,Lost semi-finals ( MMR )
1928-29,Montreal Canadiens,59,Lost semi-finals ( BOS )
1929-30,Boston Bruins,77,Lost Stanley Cup Finals^ ( MTL )
1930-31,Boston Bruins,62,Lost semi-finals ( MTL )
1931-32,Montreal Canadiens,57,Lost semi-finals ( NYR )
1932-33,Boston Bruins,58,Lost semi-finals ( TOR )
1933-34,Toronto Maple Leafs,61,Lost semi-finals ( DET )
1934-35,Toronto Maple Leafs,64,Lost Stanley Cup Finals^ ( MMR )
1935-36,Detroit Red Wings,56,Won Stanley Cup*
1936-37,Detroit Red Wings,59,Won Stanley Cup*
1937-38,Boston Bruins,67,Lost semi-finals ( TOR )
1938-39,Boston Bruins,74,Won Stanley Cup*
1939-40,Boston Bruins,67,Lost semi-finals ( NYR )
1940-41,Boston Bruins,67,Won Stanley Cup*
1941-42,New York Rangers,60,Lost semi-finals ( TOR )
1942-43,Detroit Red Wings,61,Won Stanley Cup*
1943-44,Montreal Canadiens,83,Won Stanley Cup*
1944-45,Montreal Canadiens,80,Lost semi-finals # ( TOR )
1945-46,Montreal Canadiens,61,Won Stanley Cup*
