Date of release,Title,Label
1988,Dragon 's Kiss,Shrapnel Records
1992,Scenes,Shrapnel Records
1994,Introduction,Shrapnel Records
1996,True Obsessions,Shrapnel Records
2003,Music for Speeding,MF Music
2006,Loudspeaker,Avex Trax
2008,Future Addict,Avex Trax
2009,Tokyo Jukebox,Avex Trax
2010,Bad D.N.A,Avex Trax
2011,Tokyo Jukebox 2,Avex Trax
2012,Metal Clone X ( with Freddy Lim ),Avex Trax
2014,Metal Clone X vol.2 : Louder Than Your Mother ( with Freddy Lim ),Avex Trax
2014,Inferno,Prosthetic
2017,Wall of Sound,Prosthetic
2018,One Bad M.F . Live ! !,Prosthetic
