Date,Meeting,Category,Events,Venue,Country
13 February,Australian 20k Racewalking Championships,C,20 km ( Men/Women ),Hobart,Australia
21 February,Meeting de Marcha Atlética da Cidade de Olhao,C,20 km ( Men/Women ) 50 km ( Men ),Olhão,Portugal
14 March,Gran Premio Citta di Lugano - Memorial Mario Albisetti,C,20 km ( Men/Women ),Lugano,Switzerland
27 March,Dudinska 50-ka,C,10 km ( Women ) 20 km ( Men ) 50 km ( Men ),Dudince,Slovakia
10 April,Grande Premio Internacional en Marcha Atletica,B,20 km ( Men/Women ),Rio Maior,Portugal
1 May,Coppa Città di Sesto San Giovanni,B,20 km ( Men/Women ),Sesto San Giovanni,Italy
15-16 May,2010 IAAF World Race Walking Cup,A,20 km ( Men/Women ) 50 km ( Men ),Chihuahua City,Mexico
29 May,Na Rynek Marsz !,B,10 km ( Men/Women ),Kraków,Poland
11 June,International Race Walking Festival - Alytus,C,20 km ( Men/Women ),Alytus,Lithuania
19 June,Gran Premio Cantones de La Coruña,B,20 km ( Men/Women ),A Coruña,Spain
18 September,IAAF Race Walking Challenge Final,B,10 km ( Men/Women ),Beijing,China
