Round,Overall,Player,Position,Nationality,Club team
1,15,Mathieu Chouinard,Goalie,Canada,Shawinigan Cataractes ( QMJHL )
2,44,Mike Fisher,Centre,Canada,Sudbury Wolves ( OHL )
2,58,Chris Bala,Left Wing,United States,Harvard University ( NCAA )
3,74,Julien Vauclair,Defence,Switzerland,Lugano ( Switzerland )
4,101,Petr Schastlivy,Left Wing,Russia,Yaroslavl Torpedo ( Russia )
5,130,Gavin McLeod,Defence,Canada,Kelowna Rockets ( WHL )
6,161,Chris Neil,Right Wing,Canada,North Bay Centennials ( OHL )
7,188,Michel Periard,Defence,Canada,Shawinigan Cataractes ( QMJHL )
8,223,Sergei Verenkin,Forward,Russia,Yaroslavl Torpedo ( Russia )
9,246,Rastislav Pavlikovsky,Left Wing,Slovakia,Utah Grizzlies ( IHL )
