Conference,Total,Schools
Atlantic Coast,7,"Clemson , Florida State , Miami ( FL ) , North Carolina , NC State , Virginia , Wake Forest"
Big 12,6,"Baylor , Missouri , Nebraska , Oklahoma State , Texas , Texas A & M"
Southeastern,5,"Arkansas , Ole Miss , Mississippi State , South Carolina , Vanderbilt"
Big West,4,"UC Irvine , UC Riverside , Cal State Fullerton , Long Beach State"
Conference USA,4,"East Carolina , Memphis , Rice , Southern Miss"
Pacific-10,4,"Arizona , Arizona State , Oregon State , UCLA"
Big East,3,"Louisville , Rutgers , St. John 's"
Big Ten,3,"Michigan , Minnesota , Ohio State"
Sun Belt,3,"Louisiana-Lafayette , New Orleans , Troy"
Atlantic Sun,2,"Jacksonville , Stetson"
Missouri Valley,2,"Creighton , Wichita State"
Southern,2,"Western Carolina , Wofford"
WCC,2,"Pepperdine , San Diego"
Atlantic 10,1,Charlotte
America East,1,Albany
Big South,1,Coastal Carolina
Colonial,1,VCU
Horizon,1,UIC
Ivy,1,Brown
Metro Atlantic,1,LeMoyne
