Title,Theme ( s ),Author ( s ),Year ( s ),ISBN ( s )
Antarctica,Nature conservation,Kim Stanley Robinson,1997,ISBN 0-00-225359-3
The Appeal,Pollution : water pollution,John Grisham,2008,ISBN 978-0-385-51504-7
The Back of the Turtle,Defoliants,Thomas King ( novelist ),2014,ISBN 978-1-4434-3162-0
Blockade,Logging,Derek Hansen,1998,ISBN 0-7322-6466-9
The Caretaker Trilogy ( series ),Nature conservation,David Klass,2006 ; 2008 ; 2009,
The Cool War,Energy : fossil fuel depletion,Frederick Pohl,1981,ISBN 0-394-29383-5
The Earthquake in Chile,Earthquakes,Heinrich von Kleist,1807,
Earthquake Terror,Earthquakes,Peg Kehret,,
Ecotopia : The Notebooks and Reports of William Weston,Various themes,Ernest Callenbach,1975,ISBN 0-553-34847-7
Ecotopia Emerging,Various themes,Ernest Callenbach,1981,ISBN 0-9604320-4-3 ( hardback ) ; ISBN 0-9604320-3-5 ( paperback )
Flight Behavior,Climate change,Barbara Kingsolver,2012,ISBN 978-0-06-212427-2
The Forgotten Enemy,Climate change,Arthur C. Clarke,1949,
Freedom,Various themes,Jonathan Franzen,2010,ISBN 0-374-15846-0
A Friend of the Earth,Various themes,T. Coraghessan Boyle,2000,ISBN 0-670-89177-0
The Green Brain,Ecosystems : insects almost extinguished,Frank Herbert,1966,
Hoot,Wildlife conservation,Carl Hiaasen,2002,ISBN 0-330-41529-8
The Lorax,Various themes,Dr. Seuss,1971,ISBN 0-394-82337-0
Make Room ! Make Room !,Population,Harry Harrison ( writer ),1966,
The Mockery Bird,Symbiosis and Lazarus taxa,Gerald Durrell,1981,
The Monkey Wrench Gang,Eco-terrorism,Edward Abbey,1975,ISBN 0-397-01084-2 ( hardback )
